id,tipo_direccion,direccion
149,NULL,5407 Blandit St.
197,NULL,790-7746 Morbi Av.
283,NULL,319-8879 Ac Avenue
133,NULL,Ap #879-2707 Elit Rd.
70,NULL,"P.O. Box 881, 2449 Auctor Rd."
437,NULL,Ap #375-4084 Nulla Rd.
63,NULL,879-5503 Accumsan St.
211,NULL,"P.O. Box 475, 1267 Morbi Ave"
73,NULL,445-6350 Sed Rd.
173,NULL,2074 Nec St.
492,NULL,"P.O. Box 185, 7148 Ante Road"
386,NULL,536 Tortor. Road
485,NULL,285-8549 Dignissim St.
328,NULL,Ap #721-3823 Sit Rd.
356,NULL,830-5463 Sed Road
347,NULL,Ap #909-3496 Magnis St.
372,NULL,474-4250 Augue. Rd.
244,NULL,"Ap #785-494 Nunc, Rd."
319,NULL,757-1869 Sodales Road
175,NULL,6137 Parturient St.
94,NULL,Ap #134-1600 Dictum Street
348,NULL,128-8607 Nunc. Rd.
443,NULL,236-6697 Nec Avenue
489,NULL,378-818 Velit Ave
238,NULL,Ap #414-5782 Sit Ave
129,NULL,Ap #277-5938 Risus. Street
180,NULL,Ap #980-3861 Dolor Avenue
187,NULL,607-242 Neque. Avenue
286,NULL,Ap #795-7711 Consectetuer St.
481,NULL,Ap #714-6578 In St.
279,NULL,804 Commodo Avenue
351,NULL,"P.O. Box 575, 8261 Lectus Rd."
304,NULL,102-884 Adipiscing Street
275,NULL,978-2847 Egestas. St.
31,NULL,303-293 Nam Avenue
336,NULL,"849-6666 Iaculis, St."
293,NULL,"P.O. Box 596, 2341 Augue Rd."
331,NULL,Ap #872-4567 Quis Av.
228,NULL,9234 Sed Street
364,NULL,332-1689 Diam Ave
9,NULL,"357-9294 Id, St."
331,NULL,807-8417 Cursus Avenue
113,NULL,422-5370 Nulla. Ave
329,NULL,Ap #378-1866 Sodales Road
43,NULL,165-9723 Duis Rd.
86,NULL,623-8822 Leo. St.
133,NULL,Ap #312-5020 Ligula. Avenue
449,NULL,269-3408 Sed Road
176,NULL,791-5571 Massa Rd.
